method,regime,episodes,objective_mean,objective_ci_low,objective_ci_high,objective_median,total_latency_ms_mean,total_latency_ms_ci_low,total_latency_ms_ci_high,total_latency_ms_median,communication_latency_ms_mean,communication_latency_ms_ci_low,communication_latency_ms_ci_high,communication_latency_ms_median,energy_mean,energy_ci_low,energy_ci_high,energy_median,device_switches_mean,device_switches_ci_low,device_switches_ci_high,device_switches_median,gap_vs_best_pct_mean,gap_vs_best_pct_ci_low,gap_vs_best_pct_ci_high,gap_vs_best_pct_median
greedy_communication_aware,dynamic,300,0.5266852241709172,0.5211704632604692,0.5321999850813652,0.529628753193865,1280.8955313555755,1236.047099029394,1325.743963681757,1221.9438372374063,209.25300999502477,195.24467037053918,223.26134961951036,180.06991234281085,38.49890233950946,36.89004628111448,40.10775839790445,37.465219337090204,0.7566666666666667,0.6960032899930196,0.8173300433403138,1.0,14.47617521449444,13.106143744333568,15.84620668465531,12.116508771159774
greedy_communication_aware,normal,300,0.5301845974469815,0.5255613567041368,0.5348078381898262,0.5346109549535486,1127.8614434747867,1096.633405863441,1159.0894810861323,1122.1399981713507,174.96225482916228,168.0274503204268,181.89705933789776,171.31593418641708,40.11161093805187,38.4755890372958,41.74763283880794,39.42706210408342,0.98,0.9374777057623995,1.0225222942376004,1.0,17.184626093035615,15.796378860562259,18.57287332550897,14.348313801900137
greedy_objective_aware,congested,300,0.5405481132474868,0.5276782889944023,0.5534179375005712,0.5125059587962445,3936.0069786591625,3758.7939233470565,4113.220033971269,3651.1187997344414,255.59305953919062,238.47860916111617,272.70750991726504,215.9474477192585,22.531881901071177,21.377155053371897,23.686608748770457,21.537382552588642,0.91,0.8372546153091671,0.982745384690833,1.0,10.046406744007381,8.232495200373211,11.860318287641551,0.3884310829138677
greedy_objective_aware,dynamic,300,0.47464845106068165,0.4663087370873064,0.4829881650340569,0.46501505670217114,2996.6918590217306,2874.9199863853974,3118.463731658064,2885.0538908254894,124.38828520179935,112.76861193575861,136.00795846784007,99.33010578512254,23.950081485957494,22.73942366694256,25.160739304972427,22.220746566883466,0.6833333333333333,0.6173256029248156,0.749341063741851,1.0,2.218265461526113,1.3143753302616585,3.1221555927905675,0.0
greedy_objective_aware,normal,300,0.45825365178925476,0.45249273937562146,0.46401456420288806,0.4573498653273044,2728.2247047905903,2628.1700873948603,2828.2793221863203,2664.638441279791,87.00877462768716,82.479474937919,91.53807431745533,81.35062260045056,24.60432502459777,23.356387579641787,25.852262469553754,22.220746566883466,0.6633333333333333,0.5972994448456243,0.7293672218210424,1.0,0.46204823424715225,0.24766986449441186,0.6764266039998926,0.0
supervised_rf,congested,300,0.5009398894204738,0.4931754855102016,0.5087042933307461,0.4936850619331582,3344.385383523532,3237.2415707282166,3451.529196318847,3384.3849738083545,279.6947347997443,259.6705484909536,299.718921108535,232.03695597540826,22.73275048438913,21.607467505881942,23.858033462896316,21.78462203008122,0.5366666666666666,0.4784140530413012,0.5949192802920321,1.0,2.3047226722245044,1.708977000700824,2.9004683437481846,0.22632453234028826
supervised_rf,dynamic,300,0.4712798637757561,0.46457473597710763,0.47798499157440455,0.4677427995703341,3091.63311839643,2978.0767321794337,3205.189504613426,3081.1016463774686,128.98127705962222,114.85404555506025,143.10850856418418,93.74293476543811,23.031876820349275,21.896416854743222,24.167336785955328,21.28084565738542,0.4866666666666667,0.4275496054580508,0.5457837278752826,0.0,1.6283688478500558,1.1564564649928957,2.100281230707216,0.27078508995495404
supervised_rf,normal,300,0.4612199951319182,0.4553501832322059,0.4670898070316305,0.4604879313757076,2968.7053646022714,2858.475471839613,3078.93525736493,2991.0374011193526,83.0853142744194,78.51555405744014,87.65507449139866,75.89098196548188,23.33871593485452,22.161735609671098,24.51569626003794,21.663178232688985,0.4766666666666667,0.41832518177335043,0.5350081515599829,0.0,1.094462459763073,0.8886288206919177,1.3002960988342283,0.2505475801590821
tabular_q_pooled,congested,300,0.5163449868724895,0.510360490946303,0.5223294827986761,0.5105505254521574,2522.6832452713156,2439.027382932078,2606.339107610553,2443.5848068208106,308.6209803932183,292.1757189484817,325.0662418379549,277.0261435122493,28.744020419650564,27.64004670716162,29.847994132139508,28.03190087349386,1.0,1.0,1.0,1.0,5.967844833756152,5.2055800553949565,6.730109612117347,3.7016225460919
tabular_q_pooled,dynamic,300,0.48898719249603195,0.4837531455704407,0.4942212394216232,0.48476958229416567,2363.1215985832446,2280.8244744160193,2445.41872275047,2308.7643708194764,149.05933370514705,136.03498199389776,162.08368541639635,111.39817264123425,28.744020419650564,27.64004670716162,29.847994132139508,28.03190087349386,1.0,1.0,1.0,1.0,5.942550163174223,5.171992642619889,6.713107683728557,3.578584358373202
