method,num_layers,episodes,objective_mean,objective_ci_low,objective_ci_high,objective_median,total_latency_ms_mean,total_latency_ms_ci_low,total_latency_ms_ci_high,total_latency_ms_median,communication_latency_ms_mean,communication_latency_ms_ci_low,communication_latency_ms_ci_high,communication_latency_ms_median,energy_mean,energy_ci_low,energy_ci_high,energy_median,device_switches_mean,device_switches_ci_low,device_switches_ci_high,device_switches_median,gap_vs_best_pct_mean,gap_vs_best_pct_ci_low,gap_vs_best_pct_ci_high,gap_vs_best_pct_median,decision_runtime_us_per_layer_mean,decision_runtime_us_per_layer_ci_low,decision_runtime_us_per_layer_ci_high,decision_runtime_us_per_layer_median,decision_runtime_s_mean,decision_runtime_s_ci_low,decision_runtime_s_ci_high,decision_runtime_s_median
greedy_communication_aware,10,300,0.5301845974469815,0.5255613567041368,0.5348078381898262,0.5346109549535486,1127.8614434747867,1096.633405863441,1159.0894810861323,1122.1399981713507,174.96225482916228,168.0274503204268,181.89705933789776,171.31593418641708,40.11161093805187,38.4755890372958,41.74763283880794,39.42706210408342,0.98,0.9374777057623995,1.0225222942376004,1.0,17.179078759662957,15.790598875820994,18.56755864350492,14.348313801900137,3.687461605295539,3.5783004335301793,3.7966227770608985,3.383419243618846,3.687461605295492e-05,3.578300433530171e-05,3.796622777060813e-05,3.383419243618846e-05
greedy_communication_aware,20,300,0.5624286152878026,0.5580271650577349,0.5668300655178704,0.5616466511896723,2330.177689240377,2224.8939050209133,2435.4614734598404,2112.357143964756,184.93814701900166,178.4995333489494,191.37676068905392,176.88202290959737,132.5617812433987,125.16314882557081,139.96041366122662,118.80469197103152,1.05,1.015076112715825,1.084923887284175,1.0,11.763696373447365,10.643611629916524,12.883781116978206,9.366699807517298,3.5496464115567505,3.468064432533875,3.631228390579626,3.3019838156178594,7.099292823113332e-05,6.936128865067684e-05,7.26245678115898e-05,6.603967631235719e-05
greedy_communication_aware,30,300,0.578628517068167,0.5736375184184902,0.5836195157178438,0.5759068968593384,5616.294820525512,5055.786509492022,6176.8031315590015,3905.606379767109,209.02473003429301,199.09293126768472,218.9565288009013,195.08244503537532,295.9948372200057,275.4983683974863,316.49130604252514,247.4720565018685,1.5966666666666667,1.4346217657511253,1.758711567582208,1.0,7.9226500413939265,6.970025345274466,8.875274737513388,5.372886938356485,3.2940753994302616,3.275984175700278,3.312166623160245,3.258288294697801,9.882226198290082e-05,9.827952527100268e-05,9.936499869479897e-05,9.774864884093404e-05
greedy_objective_aware,5,300,0.4029675681301681,0.39656012724268835,0.40937500901764784,0.39990374979299914,1464.1727502089843,1404.511655978798,1523.8338444391707,1430.0671454358865,83.19485705407396,78.25254516281129,88.13716894533664,75.97568637131144,8.37236911880295,7.995634780851611,8.74910345675429,7.760870201570419,0.09333333333333334,0.060226610563319266,0.1264400561033474,0.0,0.25485259466912485,0.04849454632660519,0.4612106430116445,0.0,3.585560635353128,3.40777156060572,3.763349710100536,3.216590266674757,1.7927803176765642e-05,1.7038857803028603e-05,1.881674855050268e-05,1.6082951333373785e-05
greedy_objective_aware,10,300,0.45825365178925476,0.45249273937562146,0.46401456420288806,0.4573498653273044,2728.2247047905903,2628.1700873948603,2828.2793221863203,2664.638441279791,87.00877462768716,82.479474937919,91.53807431745533,81.35062260045056,24.60432502459777,23.356387579641787,25.852262469553754,22.220746566883466,0.6633333333333333,0.5972994448456243,0.7293672218210424,1.0,0.4571212944636022,0.24266361480980783,0.6715789741173966,0.0,3.2036150029549995,3.1309589670742515,3.2762710388357474,3.0022463761270046,3.2036150029549754e-05,3.1309589670742574e-05,3.2762710388356933e-05,3.0022463761270046e-05
greedy_objective_aware,20,300,0.5096545765270425,0.5047467191153877,0.5145624339386973,0.510506795887562,5560.108140112469,5278.110889789984,5842.105390434955,5109.559363188214,98.14188410012697,93.21907099372291,103.06469720653104,93.98763118528916,95.70973636699823,90.1713052345844,101.24816749941206,86.7775142726995,1.7,1.583011551093921,1.8169884489060788,1.0,0.7923052383187221,0.6024873232841187,0.9821231533533256,0.039410569110359756,3.1792906229384243,3.1092906309980437,3.249290614878805,2.93946941383183,6.35858124587673e-05,6.218581261996042e-05,6.498581229757419e-05,5.87893882766366e-05
greedy_objective_aware,30,300,0.5458786124500102,0.5403139920698028,0.5514432328302177,0.546590758795595,10783.877869584194,10095.465935575334,11472.289803593054,9873.736113246583,115.67357987609415,109.90702766852571,121.44013208366259,106.69720494102808,241.9083253794759,222.53886685969366,261.27778389925817,193.99730147959778,3.2933333333333334,3.0757850756464875,3.5108815910201794,3.0,1.4339921034458811,1.1659177387155337,1.7020664681762285,0.1799031284959251,2.956438007661038,2.931502654869248,2.9813733604528276,2.8874550480395555,8.869314022982836e-05,8.79450796460757e-05,8.944120081358101e-05,8.662365144118667e-05
supervised_rf,5,300,0.40358863656258753,0.39706709778914845,0.4101101753360266,0.4003442343634621,1487.713835722156,1427.3596097968484,1548.0680616474638,1450.1548748000032,81.21684666643064,76.56077771403258,85.8729156188287,75.02862107053423,8.242529149467973,7.8821993918999445,8.602858907036001,7.744017628861802,0.013333333333333334,0.00027978517839708124,0.026386881488269585,0.0,0.3798474692098692,0.18796657059260133,0.5717283678271371,0.0,7036.038937047124,6631.952033568447,7440.1258405258,6266.579113435,0.035180194685235575,0.033159760167842195,0.037200629202628954,0.031332895567174945
supervised_rf,10,300,0.4612199951319182,0.4553501832322059,0.4670898070316305,0.4604879313757076,2968.7053646022714,2858.475471839613,3078.93525736493,2991.0374011193526,83.0853142744194,78.51555405744014,87.65507449139866,75.89098196548188,23.33871593485452,22.161735609671098,24.51569626003794,21.663178232688985,0.4766666666666667,0.41832518177335043,0.5350081515599829,0.0,1.0894406377607304,0.8839431822516258,1.2949380932698349,0.2458939831423987,6268.194872420281,6057.794851654987,6478.5948931855755,6015.131284948438,0.06268194872420277,0.06057794851654982,0.06478594893185571,0.06015131284948435
supervised_rf,20,300,0.5194045998433447,0.51316807605799,0.5256411236286995,0.5150017211456346,6279.858252337673,5887.708473324109,6672.008031351236,5508.3058852596405,86.97084118484253,82.69320800805362,91.24847436163144,80.55578566189544,93.98790962351137,88.57309760835408,99.40272163866867,84.94556092053904,0.9133333333333333,0.8651619498790112,0.9615047167876555,1.0,2.6388022289165383,2.092609611825094,3.1849948460079824,0.7213177690946704,6117.4742981093,5983.186845224458,6251.761750994143,5733.357323333621,0.12234948596218596,0.11966373690448912,0.1250352350198828,0.11466714646667235
