method,load_level,episodes,objective_mean,objective_ci_low,objective_ci_high,objective_median,total_latency_ms_mean,total_latency_ms_ci_low,total_latency_ms_ci_high,total_latency_ms_median,communication_latency_ms_mean,communication_latency_ms_ci_low,communication_latency_ms_ci_high,communication_latency_ms_median,energy_mean,energy_ci_low,energy_ci_high,energy_median,device_switches_mean,device_switches_ci_low,device_switches_ci_high,device_switches_median,gap_vs_best_pct_mean,gap_vs_best_pct_ci_low,gap_vs_best_pct_ci_high,gap_vs_best_pct_median,loaded_device_share_mean,loaded_device_share_ci_low,loaded_device_share_ci_high,loaded_device_share_median
greedy_communication_aware,0.8,300,0.5437048012800588,0.5371860513423072,0.5502235512178104,0.5475044629653019,1833.1611223506857,1775.2119541952804,1891.110290506091,1819.6062747982066,304.3477027872603,293.4693418219033,315.2260637526173,294.7071727175452,37.2334967465936,35.54006636931936,38.92692712386784,35.65798744307182,1.02,0.9840827027926368,1.0559172972073632,1.0,19.476151456327546,18.13270955115875,20.81959336149634,17.832840123350316,0.01966666666666667,0.011528598692757982,0.027804734640575354,0.0
greedy_objective_aware,0.2,300,0.4578431008556104,0.45218315714806495,0.4635030445631559,0.45916274944621915,2720.980891425015,2622.182473491772,2819.7793093582586,2700.6134913021924,86.96171724177265,82.38295121624442,91.54048326730087,80.87113258880049,24.61708942548259,23.36537402505201,25.86880482591317,22.607486519418366,0.65,0.5848702169800278,0.7151297830199722,1.0,0.44168814288703534,0.22832643071449935,0.6550498550595714,0.0,0.31633333333333336,0.2806149454266956,0.35205172123997114,0.3
greedy_objective_aware,0.5,300,0.46893390213332853,0.462203666081263,0.47566413818539405,0.46740557923882475,3314.0143690071554,3206.075832251466,3421.9529057628447,3288.696649249577,87.68889223992564,82.76691395732236,92.61087052252891,79.84852428163077,22.385714708543002,21.261803622573765,23.50962579451224,20.66831587652633,0.65,0.5694583370757776,0.7305416629242224,1.0,0.35337188066724157,0.1448608826974808,0.5618828786370024,0.0,0.1796666666666667,0.15250645631429854,0.20682687701903485,0.0
greedy_objective_aware,0.8,300,0.46112826447661803,0.4533253105662712,0.4689312183869649,0.4531907046000684,3899.2125214453135,3759.1489337306652,4039.276109159962,3839.871737611,92.89531231041427,86.94126819140985,98.84935642941869,81.35062260045056,20.081394831071933,19.08659661919893,21.076193042944936,18.339964620949146,0.2833333333333333,0.22570665603375678,0.34096001063290987,0.0,0.32905337992976946,0.12002032016304329,0.5380864396964956,0.0,0.006,0.002229983377515907,0.009770016622484093,0.0
supervised_rf,0.2,300,0.46079019995245235,0.45501221309468426,0.46656818681022044,0.4609397997399374,2960.9913710077353,2851.0511990564005,3070.93154295907,3018.2987287745564,83.25523533401628,78.60750270119846,87.9029679668341,76.29923472180388,23.339434351462252,22.15878051913308,24.520088183791422,21.790429212793804,0.4666666666666667,0.40838811825544336,0.52494521507789,0.0,1.0693893889583772,0.8612066824676639,1.2775720954490906,0.21810616096137975,0.24833333333333332,0.21294329945353607,0.2837233672131306,0.1
supervised_rf,0.5,300,0.47052141577345274,0.463558372450574,0.47748445909633147,0.4681315608638731,3381.881536472338,3268.50938965659,3495.2536832880864,3427.938404670309,82.84381841474858,78.14869915925907,87.5389376702381,75.28679619163103,22.162627416604323,21.057582893699045,23.2676719395096,19.88835786695445,0.44,0.38199868716630686,0.49800131283369314,0.0,0.6442455346253263,0.4590160785655687,0.8294749906850839,0.0,0.184,0.1532905892768925,0.21470941072310748,0.0
supervised_rf,0.8,300,0.4834273782485157,0.4709926486116412,0.49586210788539026,0.4558596895616402,4199.272754112746,4000.9132192156812,4397.632289009811,3854.134365766515,80.77093414241156,76.19021598025718,85.35165230456595,72.39113887222108,20.83231453598227,19.819291515095575,21.845337556868966,19.141493973315036,0.35,0.2941488297253901,0.4058511702746099,0.0,4.4023508297251555,3.272443212012264,5.532258447438046,0.0,0.10866666666666668,0.0851241429680544,0.13220919036527895,0.0
tabular_q_pooled,0.2,300,0.47939030395700777,0.4745686120099417,0.4842119959040738,0.47809625648526055,2297.7204582054665,2216.9738881898174,2378.4670282211155,2255.8120760534966,95.86235368186561,91.22150872880977,100.50319863492146,87.35272382094365,28.744020419650564,27.64004670716162,29.847994132139508,28.03190087349386,1.0,1.0,1.0,1.0,5.570515194820905,4.832868970950701,6.308161418691109,3.283491623528273,0.5,0.5,0.5,0.5
tabular_q_pooled,0.5,300,0.5047264286804676,0.49950297224330686,0.5099498851176283,0.5032498955546163,2743.6911154221957,2645.8403134445175,2841.541917399874,2662.150846146,95.86235368186561,91.22150872880977,100.50319863492146,87.35272382094365,28.744020419650564,27.64004670716162,29.847994132139508,28.03190087349386,1.0,1.0,1.0,1.0,8.771804811280509,7.773821619625076,9.769788002935943,6.476024500209929,0.5,0.5,0.5,0.5
tabular_q_pooled,0.8,300,0.6110918898066955,0.6029908414760629,0.6191929381373281,0.6018155954907038,4824.432657125196,4618.670325399289,5030.194988851103,4639.355579048777,95.86235368186561,91.22150872880977,100.50319863492146,87.35272382094365,28.744020419650564,27.64004670716162,29.847994132139508,28.03190087349386,1.0,1.0,1.0,1.0,34.45422420599847,32.628015907799735,36.28043250419721,33.499441871446386,0.5,0.5,0.5,0.5
